No.,Slop_angle,Coefficient restitution,Friction Angle,ĵ_W,ĵ_B&G,ĵ_A,ĵ_R2,X_ave,X_95,X_cv,Z_ave,Z_95,Z_cv,R/T
352,60,0.1,30,0.718516797,0.301511345,0.157048432,0.405121673,43.5743778,51.89556329,0.091070402,4.018820937,8.72219394,0.551471378,0.009798235
353,60,0.1,30,0.752255969,0.313727903,0.170552898,0.408827807,50.36671648,70.61806445,0.210153633,4.875683556,11.46373023,0.671401323,0.02756436
354,60,0.1,30,0.784225984,0.316227766,0.150987636,0.361564983,46.66267441,60.65656481,0.180763361,3.771875367,8.134934201,0.728174237,0.0182512
355,60,0.1,30,0.725820022,0.267261242,0.218756303,0.50020125,44.17724373,48.70283847,0.100493898,4.296376214,7.844176785,0.597438352,0.01271913
356,60,0.1,30,0.757902263,0.30656967,0.318285768,0.615080006,46.36734066,66.32587419,0.214544565,4.878528444,11.40154995,0.778436485,0.02108169
357,60,0.1,30,0.785582178,0.316227766,0.301975273,0.572957795,42.39823416,56.29212953,0.165570234,2.868309596,7.470432142,1.043881524,0.01439835
358,60,0.1,30,0.697468411,0.229415734,0.207545578,0.502594557,43.12366646,48.87566911,0.081789263,4.004101209,7.782975327,0.527095478,0.01102594
359,60,0.1,30,0.724535006,0.295656198,0.428234729,0.784142904,42.38196465,61.57655998,0.199319222,4.22666108,12.40598829,0.890621738,0.01401578
360,60,0.1,30,0.742659835,0.316227766,0.452962909,0.794179167,41.42616625,57.74904011,0.1732696,2.656903227,5.903890945,1.025463277,0.009193191
361,60,0.1,40,0.805995977,0.577350269,0.367552597,0.636619772,48.99744103,58.7121414,0.188060396,5.197643804,11.43811773,0.621310103,0.01549342
362,60,0.1,40,0.851298292,0.680413817,0.579959658,0.816927334,85.7040311,128.4164612,0.312609278,14.32531813,35.22789589,0.738928979,0.1314022
363,60,0.1,40,0.904997185,0.707106781,0.562697698,0.753129277,61.60216668,92.10097869,0.271467124,7.735122351,24.24615996,0.932586168,0.1013392
364,60,0.1,40,0.767663317,0.40824829,0.259898934,0.530516477,43.22987117,59.03302619,0.149973758,5.707595546,12.70916571,0.71060329,0.02772345
